Question,Answer,Tips
What is Java?,"Java is a high-level, object-oriented programming language developed by Sun Microsystems.",Understand Java basics and its key features.
What are the key features of Java?,"Key features include Object-Oriented, Platform Independent, Secure, Robust, and Multithreading.",Learn each feature in detail with examples.
What is JVM?,JVM (Java Virtual Machine) is an abstract machine that enables a computer to run Java programs.,Understand JVM architecture for better performance tuning.
"What is the difference between JDK, JRE, and JVM?","JDK is the development kit, JRE is the runtime environment, and JVM is the virtual machine that runs Java bytecode.","Know the differences between JDK, JRE, and JVM."
What are Java access modifiers?,"Java has four access modifiers: private, default, protected, and public.",Use appropriate access modifiers to control class member visibility.
What is encapsulation?,Encapsulation is a concept where data (variables) and code (methods) are wrapped together into a single unit.,Use getters and setters to implement encapsulation in Java.
What is inheritance?,Inheritance is a mechanism where one class acquires the properties and behaviors of another class.,Use the 'extends' keyword to implement inheritance in Java.
What is polymorphism?,"Polymorphism allows one interface to be used for multiple functionalities, implemented using method overloading and overriding.",Learn method overloading vs. method overriding.
What is abstraction?,Abstraction is the process of hiding implementation details and showing only the necessary features of an object.,Use abstract classes and interfaces for abstraction.
What is an interface in Java?,An interface is a reference type in Java that contains only abstract methods.,Use interfaces to achieve full abstraction and multiple inheritance.
What is the difference between an abstract class and an interface?,"An abstract class can have implemented methods, while an interface contains only abstract methods (before Java 8).",Use an abstract class when you have shared behavior among subclasses.
What is method overloading?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,Use method overloading for code reusability and clarity.
What is method overriding?,Method overriding allows a subclass to provide a specific implementation of a method already defined in its superclass.,Use the '@Override' annotation to ensure proper overriding.
What is the difference between static and non-static methods?,"Static methods belong to the class, while non-static methods belong to an instance of the class.",Use static methods when you don't need to access instance variables.
What are constructors in Java?,Constructors are special methods used to initialize objects in Java.,A constructor must have the same name as the class and has no return type.
What is the difference between a constructor and a method?,"A constructor initializes an object, while a method defines behavior and can return a value.",Constructors do not have a return type.
What is the 'this' keyword in Java?,The 'this' keyword refers to the current instance of the class.,Use 'this' to differentiate between instance variables and parameters with the same name.
